#-----------------------------------------------------------------------------
# Date d'extraction : 31/10/2025 - 15h46 loc.
#-----------------------------------------------------------------------------
# Producteur : MF_DCSC
# Experience : TRACC2023_DISTRIBUTION
# Modele     : MIN
#-----------------------------------------------------------------------------
# Niveaux de réchauffement :
#     REF : Référence
#-----------------------------------------------------------------------------
# Type d'indice : annuel
#-----------------------------------------------------------------------------
# Indices : 
#     NORTMm_yr : Température moyenne annuelle (°C)
#     NORTMm_seas_JJA : Température moyenne en été (°C)
#     NORTMm_seas_DJF : Température moyenne en hiver (°C)
#     NORTXm_seas_JJA : Température maximale en été (°C)
#     NORTX35D_yr : Nombre de jours avec Tx >= 35°C (jour(s))
#     NORTX30D_yr : Nombre de jours avec Tx >= 30°C (jour(s))
#     NORTR_yr : Nombre de nuits tropicales (jour(s))
#     NORRR_yr : Cumul de précipitations annuelles (mm)
#     NORRR_seas_JJA : Cumul de précipitations en été (mm)
#     NORRR_seas_DJF : Cumul de précipitations en hiver (mm)
#     NORRRq99_yr : Cumul de précipitations quotidiennes remarquables (percentile 99 du cumul  quotidien) (mm)
#     NORRx1d_yr : Intensité des précipitations extrêmes (max annuel des  précipitations totales) (mm)
#     NORRRq99refD_yr : Fréquence des précipitations quotidienne remarquables (jour(s))
#     NORIFM40_yr : Indicateur feux météo nombre de jours supérieurs à 40 (jour(s))
#     NORSWI04_yr : Nombre de jours avec SWI < 0.4 (jour(s))
#-----------------------------------------------------------------------------
# Format des enregistrements 
# Point;Latitude;Longitude;Niveau;NORTMm_yr;NORTMm_seas_JJA;NORTMm_seas_DJF;NORTXm_seas_JJA;NORTX35D_yr;NORTX30D_yr;NORTR_yr;NORRR_yr;NORRR_seas_JJA;NORRR_seas_DJF;NORRRq99_yr;NORRx1d_yr;NORRRq99refD_yr;NORIFM40_yr;NORSWI04_yr;
#-----------------------------------------------------------------------------
5045;44.0398;-0.406;REF;12.52;19.96;5.37;25.41;1.8;18.4;2.3;916.35;175.75;236.56;23.99;34.9;3.6;0;51;
5046;44.0423;-0.3063;REF;12.49;19.92;5.35;25.35;1.7;18;2.5;919.27;176.75;237.16;23.58;35.58;3.6;0;59;
5047;44.0447;-0.2066;REF;12.78;20.14;5.67;25.14;1.7;16.7;4.3;855.94;165.27;213.64;22.68;34.03;3.6;0;61;
5048;44.047;-0.107;REF;12.68;20.01;5.61;24.91;1.6;15.7;4.2;863.39;167.64;215.21;22.95;34.3;3.6;0;56;
5049;44.0491;-0.0073;REF;12.64;19.96;5.58;24.84;1.5;15.1;4.2;867.7;169.24;216.77;23.25;35.21;3.5;0;58;
5179;44.0854;-1.307;REF;13.5;19.92;7.14;23.73;0.6;7.8;5.8;859.77;150.49;225.07;23.16;34.4;3.5;0;95;
5180;44.0887;-1.2073;REF;13.41;19.81;7.07;23.58;0.5;7.3;5.1;865.01;151.51;226.98;23;34.59;3.5;0;63;
5181;44.0919;-1.1076;REF;12.71;19.85;5.83;25.22;1.8;17.6;2.4;1024.21;179.55;268.47;26.81;40.97;3.6;0;46;
5182;44.095;-1.0079;REF;12.57;19.69;5.72;24.97;1.7;16.5;2.1;1032.58;180.34;272.01;26.83;41.38;3.6;0;42;
5183;44.098;-0.9082;REF;12.53;19.63;5.68;24.89;1.7;16.2;2;1036.36;181;271.87;26.92;41.53;3.6;0;53;
5184;44.1009;-0.8085;REF;12.52;19.62;5.67;24.87;1.7;16.1;2;1033.56;181.93;272.32;27.14;41.21;3.6;0;39;
5185;44.1038;-0.7087;REF;12.47;19.55;5.64;24.78;1.6;15.8;1.9;1038.06;183.42;273.17;27.22;41.35;3.6;0;37;
5186;44.1065;-0.609;REF;12.47;19.9;5.34;25.32;1.7;17.7;2;919.16;178.66;235.06;23.95;35.65;3.5;0;54;
5187;44.1092;-0.5092;REF;12.45;19.86;5.32;25.27;1.7;17.7;2;921.07;179.37;234.71;23.96;35.64;3.6;0;64;
5188;44.1117;-0.4094;REF;12.4;19.8;5.28;25.18;1.6;17.2;2;924.61;180.11;235.56;24.48;35.47;3.6;0;58;
5189;44.1142;-0.3097;REF;12.4;19.81;5.29;25.19;1.6;17.4;2;924.24;179.36;236.39;24.19;35.45;3.6;0;46;
5190;44.1166;-0.2099;REF;12.36;19.76;5.25;25.1;1.7;17.1;2;926.32;180.94;237.04;24.19;35.1;3.6;0;47;
5191;44.1188;-0.1101;REF;12.65;19.97;5.59;24.86;1.6;15.4;3.8;866.8;169.55;215.68;23.05;33.72;3.6;0;55;
5192;44.121;-0.0103;REF;12.63;19.94;5.57;24.8;1.5;15;4.2;869.07;169.46;215.85;23.56;34.57;3.5;0;54;
5193;44.1231;0.0895;REF;12.35;19.8;5.21;24.92;1.2;14.5;3.4;790.92;165.42;187.08;21.61;32.61;3.5;0;67;
5323;44.1606;-1.2118;REF;13.36;19.76;7.02;23.51;0.5;7.2;4.6;865.61;151.29;227.88;22.96;35.31;3.5;0;51;
5324;44.1638;-1.112;REF;12.71;19.85;5.83;25.22;1.9;17.8;2.3;1022.45;180.24;268.47;26.57;41.53;3.6;0;37;
